<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.26	15106.93	15142.37	15048.61	15131.20	112399	0	200
2021.07.27	15133.01	15138.80	14783.24	14893.00	116830	0	200
2021.07.28	14880.34	15082.19	14878.22	14993.90	135059	0	200
2021.07.29	14993.79	15092.68	14913.15	14922.00	115597	0	200
2021.07.30	14911.91	14990.08	14819.62	14975.27	130239	0	200
2021.08.02	14979.04	15063.57	14943.17	14971.30	115407	0	200
2021.08.03	14972.23	15062.22	14860.76	15046.10	115682	0	200
2021.08.04	15048.37	15120.90	15010.80	15092.70	105652	0	200
2021.08.05	15088.53	15182.74	15079.66	15181.80	99245	0	200
2021.08.06	15173.72	15177.75	15057.68	15101.04	94990	0	200
2021.08.09	15100.72	15155.48	15012.99	15136.90	98993	0	200
2021.08.10	15138.00	15167.14	15006.74	15058.80	100431	0	200
2021.08.11	15052.53	15127.70	14970.75	15015.30	103950	0	200
2021.08.12	15011.72	15098.05	14949.79	15086.80	94706	0	200
2021.08.13	15085.54	15148.99	15062.47	15132.61	83689	0	200
2021.08.16	15125.79	15145.05	14923.03	15139.70	108358	0	200
2021.08.17	15136.69	15139.07	14904.65	14977.00	118657	0	200
2021.08.18	14968.12	15039.81	14809.72	14840.80	115630	0	200
2021.08.19	14842.90	15001.00	14712.92	14943.30	147306	0	200
2021.08.20	14944.12	15101.73	14852.69	15093.22	129468	0	200
2021.08.23	15091.79	15340.45	15090.92	15329.50	102854	0	200
2021.08.24	15329.70	15386.87	15313.33	15365.00	93189	0	200
2021.08.25	15366.12	15399.73	15336.78	15371.20	97059	0	200
2021.08.26	15370.71	15371.34	15261.02	15291.00	107455	0	200
2021.08.27	15287.34	15446.98	15268.61	15426.61	93317	0	200
2021.08.30	15436.56	15621.57	15423.86	15609.50	85366	0	200
2021.08.31	15607.05	15678.98	15521.81	15601.50	114762	0	200
2021.09.01	15598.79	15696.08	15577.50	15610.50	102048	0	200
2021.09.02	15606.61	15680.23	15552.64	15598.30	103750	0	200
2021.09.03	15597.27	15674.24	15548.28	15651.39	98198	0	200
2021.09.06	15654.09	15708.06	15641.23	15701.74	50020	0	200
2021.09.07	15700.56	15701.54	15607.06	15670.80	100604	0	100
2021.09.08	15670.11	15691.00	15523.73	15608.90	114397	0	100
2021.09.09	15607.86	15674.62	15544.66	15561.60	112441	0	100
2021.09.10	15559.50	15666.40	15433.80	15452.89	100769	0	100
2021.09.13	15446.31	15564.21	15349.82	15450.30	111468	0	100
2021.09.14	15445.35	15527.79	15351.47	15394.00	102611	0	100
2021.09.15	15394.13	15519.89	15314.10	15513.40	101389	0	100
2021.09.16	15514.23	15540.54	15368.69	15505.10	98857	0	100
2021.09.17	15503.40	15535.42	15291.45	15314.58	99385	0	100
2021.09.20	15296.19	15349.76	14820.11	15001.30	126693	0	100
2021.09.21	15000.46	15174.17	14980.23	15002.50	118240	0	100
2021.09.22	15002.60	15234.72	14940.55	15187.70	116673	0	100
2021.09.23	15188.09	15356.34	15184.48	15306.70	113278	0	100
2021.09.24	15310.20	15345.94	15189.79	15328.28	108813	0	100
2021.09.27	15330.89	15410.86	15098.73	15183.80	112343	0	100
2021.09.28	15184.28	15203.67	14756.94	14780.40	132764	0	100
2021.09.29	14782.45	14937.79	14725.26	14775.30	137380	0	100
2021.09.30	14782.06	14895.92	14683.21	14703.90	131495	0	100
2021.10.01	14712.82	14830.94	14550.23	14780.01	135647	0	100
2021.10.04	14796.14	14847.11	14382.35	14501.00	140360	0	100
2021.10.05	14504.86	14764.90	14423.67	14672.29	131938	0	100
2021.10.06	14671.92	14779.99	14433.41	14777.10	145431	0	100
2021.10.07	14778.13	15010.66	14777.50	14899.80	119283	0	100
2021.10.08	14901.37	15004.96	14803.73	14813.90	122492	0	100
2021.10.11	14822.18	14908.98	14689.51	14696.80	127578	0	100
2021.10.12	14700.51	14794.64	14598.14	14610.00	130025	0	100
2021.10.13	14604.77	14804.73	14603.27	14778.58	118222	0	100
2021.10.14	14779.71	15079.47	14778.46	15077.73	101492	0	100
2021.10.15	15074.36	15151.08	15032.78	15148.71	105530	0	100
2021.10.18	15157.25	15309.18	15052.20	15301.50	109122	0	100
2021.10.19	15301.45	15439.72	15282.97	15423.50	100910	0	100
2021.10.20	15422.25	15458.97	15331.63	15369.30	104919	0	100
2021.10.21	15368.14	15496.04	15311.87	15391.90	109164	0	100
2021.10.22	15394.34	15474.64	15288.02	15349.17	109850	0	100
2021.10.25	15337.55	15558.71	15310.45	15554.20	105893	0	100
2021.10.26	15555.37	15711.35	15515.20	15532.50	109494	0	100
2021.10.27	15542.85	15729.67	15516.84	15602.50	114983	0	100
2021.10.28	15607.55	15788.03	15604.63	15683.70	115503	0	100
2021.10.29	15689.85	15858.91	15606.62	15858.91	122111	0	100
2021.11.01	15897.60	15925.35	15781.26	15900.20	101954	0	100
2021.11.02	15902.30	15993.03	15860.37	15969.80	94020	0	100
2021.11.03	15962.27	16156.91	15947.82	16143.00	94900	0	100
2021.11.04	16141.49	16387.56	16140.00	16349.60	100008	0	100
2021.11.05	16338.60	16457.48	16300.34	16348.68	103939	0	100
2021.11.08	16299.76	16400.89	16279.77	16331.30	104791	0	100
2021.11.09	16320.24	16398.69	16167.04	16203.70	108526	0	100
2021.11.10	16202.71	16247.16	15903.84	15990.40	112184	0	100
2021.11.11	15993.52	16118.95	15982.65	16044.80	109635	0	100
2021.11.12	16048.52	16218.46	16009.99	16201.61	98923	0	100
2021.11.15	16217.26	16280.80	16089.50	16201.10	96546	0	100
2021.11.16	16203.00	16328.53	16151.15	16298.00	100293	0	100
2021.11.17	16300.12	16399.40	16274.55	16322.59	96501	0	100
2021.11.18	16323.68	16508.43	16308.26	16507.00	102553	0	100
2021.11.19	16504.19	16628.76	16491.07	16575.87	111112	0	100
2021.11.22	16600.42	16767.24	16366.00	16398.00	109936	0	100
2021.11.23	16399.93	16419.73	16120.14	16299.30	127930	0	100
2021.11.24	16300.67	16368.97	16103.03	16356.30	120909	0	100
2021.11.25	16359.50	16437.70	16353.63	16406.58	51138	0	100
2021.11.26	16409.18	16414.30	15991.30	16049.68	121177	0	100
2021.11.29	16046.55	16439.28	16046.55	16416.10	137020	0	100
2021.11.30	16418.62	16456.09	16070.92	16238.90	145315	0	100
2021.12.01	16240.39	16429.45	15829.73	15862.10	137368	0	100
2021.12.02	15893.03	16067.11	15765.49	16015.00	147732	0	100
2021.12.03	16021.07	16120.13	15540.82	15687.52	137703	0	100
2021.12.06	15718.23	15897.89	15562.95	15850.80	136752	0	100
2021.12.07	15846.64	16374.63	15824.77	16367.30	118348	0	100
2021.12.08	16362.14	16435.75	16254.12	16383.00	118598	0	100
2021.12.09	16380.95	16421.34	16121.11	16154.90	111111	0	100
2021.12.10	16152.60	16336.04	16136.90	16319.56	103515	0	100
2021.12.13	16320.96	16410.30	16065.61	16093.00	109219	0	100
2021.12.14	16088.73	16132.24	15738.98	15931.80	122302	0	100
2021.12.15	15931.55	16300.68	15744.50	16287.00	120855	0	100
2021.12.16	16289.47	16458.54	15800.22	15882.40	129219	0	100
2021.12.17	15875.77	15961.88	15657.87	15825.41	135217	0	100
2021.12.20	15814.78	15858.10	15502.34	15681.60	141061	0	100
2021.12.21	15672.25	15994.58	15611.78	15980.90	120114	0	100
2021.12.22	15984.64	16189.18	15889.95	16187.60	109667	0	100
2021.12.23	16186.82	16360.06	16152.94	16307.80	87999	0	100
2021.12.27	16310.72	16584.22	16309.85	16573.20	92486	0	100
2021.12.28	16568.25	16659.67	16454.50	16515.10	102439	0	100
2021.12.29	16514.45	16565.24	16388.64	16483.00	104210	0	100
2021.12.30	16485.22	16570.47	16417.62	16434.40	93205	0	100
2021.12.31	16436.97	16468.27	16356.96	16386.10	61805	0	100
2022.01.03	16358.52	16511.87	16294.77	16501.30	103146	0	100
2022.01.04	16502.95	16569.27	16147.95	16267.90	114920	0	100
2022.01.05	16268.42	16274.04	15760.40	15760.90	124022	0	100
2022.01.06	15766.60	15900.77	15607.99	15798.90	147653	0	100
2022.01.07	15809.18	15861.49	15521.81	15594.48	129480	0	100
2022.01.10	15600.22	15679.45	15162.68	15628.40	137841	0	100
2022.01.11	15632.36	15849.64	15489.96	15834.00	136953	0	100
2022.01.12	15836.93	16020.69	15774.82	15905.80	128370	0	100
2022.01.13	15908.93	15990.02	15470.19	15511.90	127141	0	100
2022.01.14	15515.85	15618.34	15320.74	15606.50	145970	0	100
2022.01.17	15618.96	15647.02	15518.42	15565.51	75033	0	100
2022.01.18	15573.63	15612.63	15183.84	15251.60	147853	0	100
2022.01.19	15250.84	15382.61	15024.16	15046.90	153527	0	100
2022.01.20	15053.46	15350.47	14659.32	14734.90	144720	0	100
2022.01.21	14732.57	14869.93	14422.46	14434.59	158907	0	100
2022.01.24	14423.98	14592.28	13719.56	14515.90	167681	0	100
2022.01.25	14505.08	14511.46	13904.85	13937.10	169070	0	100
