<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2022.09.20	16:30:00	11844.77	11873.25	11815.80	11849.72	6622	0	100
2022.09.20	17:00:00	11849.10	11876.86	11828.10	11860.68	6246	0	100
2022.09.20	17:30:00	11860.18	11895.26	11820.68	11888.32	5947	0	100
2022.09.20	18:00:00	11887.57	11916.17	11872.29	11904.27	5671	0	100
2022.09.20	18:30:00	11903.65	11946.27	11882.12	11943.57	5567	0	100
2022.09.20	19:00:00	11943.54	11952.20	11890.85	11893.35	5156	0	100
2022.09.20	19:30:00	11893.34	11895.33	11865.94	11880.65	5094	0	100
2022.09.20	20:00:00	11881.39	11884.24	11812.85	11813.47	5333	0	100
2022.09.20	20:30:00	11813.35	11816.44	11760.63	11768.30	5402	0	100
2022.09.20	21:00:00	11767.68	11827.34	11765.20	11813.51	5399	0	100
2022.09.20	21:30:00	11812.89	11847.02	11779.15	11836.53	5596	0	100
2022.09.20	22:00:00	11836.65	11871.42	11822.98	11859.66	5964	0	100
2022.09.20	22:30:00	11858.80	11896.11	11836.55	11854.82	5823	0	100
2022.09.20	23:00:00	11856.67	11885.66	11856.30	11869.95	2714	0	100
2022.09.20	23:30:00	11870.07	11880.00	11864.79	11879.30	1430	0	100
2022.09.21	01:00:00	11875.41	11875.41	11852.86	11856.22	1239	0	200
2022.09.21	01:30:00	11856.34	11861.82	11853.74	11861.32	783	0	200
2022.09.21	02:00:00	11861.45	11864.55	11838.53	11845.64	1240	0	200
2022.09.21	02:30:00	11845.89	11859.89	11842.96	11854.30	1307	0	200
2022.09.21	03:00:00	11853.80	11874.76	11848.27	11873.05	2428	0	200
2022.09.21	03:30:00	11872.80	11879.88	11867.33	11870.14	1918	0	200
2022.09.21	04:00:00	11870.13	11875.77	11840.19	11844.53	2085	0	200
2022.09.21	04:30:00	11844.66	11853.26	11837.82	11847.22	2487	0	200
2022.09.21	05:00:00	11846.85	11867.75	11844.44	11862.44	1992	0	200
2022.09.21	05:30:00	11862.19	11871.29	11856.29	11865.45	1642	0	200
2022.09.21	06:00:00	11865.32	11866.19	11853.37	11859.16	1237	0	200
2022.09.21	06:30:00	11859.28	11869.07	11855.66	11867.81	1172	0	200
2022.09.21	07:00:00	11867.82	11868.31	11854.81	11856.14	923	0	200
2022.09.21	07:30:00	11856.02	11862.23	11853.67	11858.43	1105	0	200
2022.09.21	08:00:00	11859.79	11870.62	11858.70	11870.37	1570	0	200
2022.09.21	08:30:00	11870.49	11879.23	11832.27	11842.54	2177	0	200
2022.09.21	09:00:00	11842.04	11868.62	11820.74	11828.42	4335	0	200
2022.09.21	09:30:00	11828.86	11843.37	11812.37	11821.78	3856	0	200
2022.09.21	10:00:00	11822.52	11859.28	11790.92	11852.66	4672	0	200
2022.09.21	10:30:00	11852.41	11873.68	11840.14	11848.62	3665	0	200
2022.09.21	11:00:00	11848.99	11864.64	11831.62	11850.47	3230	0	200
2022.09.21	11:30:00	11850.96	11861.98	11845.98	11853.74	2523	0	200
2022.09.21	12:00:00	11853.62	11855.23	11832.17	11843.39	2475	0	200
2022.09.21	12:30:00	11843.14	11873.26	11842.27	11865.34	2604	0	200
2022.09.21	13:00:00	11864.72	11868.19	11847.26	11858.92	2080	0	200
2022.09.21	13:30:00	11858.79	11864.96	11834.19	11853.32	2570	0	200
2022.09.21	14:00:00	11853.94	11860.00	11842.66	11846.77	2294	0	200
2022.09.21	14:30:00	11846.52	11876.64	11842.67	11867.22	2708	0	200
2022.09.21	15:00:00	11867.35	11886.23	11862.72	11884.07	2842	0	200
2022.09.21	15:30:00	11883.69	11916.37	11883.32	11903.46	3699	0	200
2022.09.21	16:00:00	11903.58	11912.19	11886.59	11889.62	3583	0	200
2022.09.21	16:30:00	11890.37	11925.08	11866.85	11899.25	7098	0	100
2022.09.21	17:00:00	11899.13	11927.07	11880.88	11925.91	6536	0	100
2022.09.21	17:30:00	11926.53	11928.27	11871.57	11886.66	5838	0	100
2022.09.21	18:00:00	11887.03	11896.88	11868.96	11893.71	5613	0	100
2022.09.21	18:30:00	11894.45	11908.62	11888.90	11898.62	5028	0	100
2022.09.21	19:00:00	11898.37	11922.75	11889.11	11922.25	4500	0	100
2022.09.21	19:30:00	11921.85	11939.34	11911.36	11911.61	4621	0	100
2022.09.21	20:00:00	11912.11	11917.86	11895.96	11911.93	4387	0	100
2022.09.21	20:30:00	11911.43	11971.74	11909.82	11960.21	4467	0	100
2022.09.21	21:00:00	11960.04	11968.10	11696.90	11778.23	8686	0	100
2022.09.21	21:30:00	11778.61	12067.15	11745.65	12003.41	9073	0	100
2022.09.21	22:00:00	12006.01	12026.10	11783.62	11784.91	8528	0	100
2022.09.21	22:30:00	11782.81	11793.28	11638.00	11638.00	7617	0	100
2022.09.21	23:00:00	11636.63	11640.35	11580.49	11583.24	3980	0	100
2022.09.21	23:30:00	11583.37	11611.05	11583.24	11596.60	2514	0	100
2022.09.22	01:00:00	11594.13	11610.87	11588.19	11597.74	1957	0	200
2022.09.22	01:30:00	11597.87	11598.99	11551.64	11556.97	2216	0	200
2022.09.22	02:00:00	11556.72	11567.27	11544.21	11553.01	1903	0	200
2022.09.22	02:30:00	11552.77	11555.92	11540.84	11545.66	2113	0	200
2022.09.22	03:00:00	11545.28	11560.28	11536.10	11546.35	2755	0	200
2022.09.22	03:30:00	11546.47	11551.19	11506.35	11514.08	2706	0	200
2022.09.22	04:00:00	11514.21	11520.20	11483.46	11501.52	3359	0	100
2022.09.22	04:30:00	11502.14	11532.83	11492.72	11532.34	3192	0	100
2022.09.22	05:00:00	11532.09	11543.82	11524.29	11530.21	2865	0	200
2022.09.22	05:30:00	11530.34	11563.60	11527.22	11548.81	2858	0	200
2022.09.22	06:00:00	11548.68	11550.39	11535.13	11541.12	2292	0	200
2022.09.22	06:30:00	11541.25	11554.41	11538.82	11542.48	1848	0	200
2022.09.22	07:00:00	11542.58	11560.63	11539.92	11559.42	1664	0	200
2022.09.22	07:30:00	11559.30	11562.13	11548.84	11549.95	1470	0	200
2022.09.22	08:00:00	11549.33	11559.90	11545.00	11557.18	1939	0	200
